date,tid,ctype,cgender,category,paym,discapld,unitsold,ppu,totalsales,saleslevel
5/6/2023,NTC001,Loyalty,M,Food & Drinks,Mobile Money,Yes,2,70,140,High
5/6/2023,NTC002,Loyalty,F,Online support services,Cash,No,20,5,100,High
5/6/2023,NTC003,Loyalty,M,Food & Drinks,Cash,No,2,60,120,High
5/6/2023,NTC004,Non-loyalty,M,Cyber services,Mobile Money,No,19,10,190,High
5/6/2023,NTC005,Non-loyalty,M,Food & Drinks,Cash,Yes,4,5,20,Low
5/6/2023,NTC006,Non-loyalty,F,Stationery & Office Supplies,Mobile Money,Yes,2,10,20,Low
5/8/2023,NTC007,Loyalty,M,Cyber services,Mobile Money,No,24,5,120,High
5/8/2023,NTC008,Loyalty,M,Food & Drinks,Mobile Money,No,1,70,70,Low
5/8/2023,NTC009,Loyalty,M,Cyber services,Mobile Money,Yes,1,10,10,Low
5/8/2023,NTC0010,Loyalty,F,Cyber services,Mobile Money,No,7,20,140,High
5/9/2023,NTC0011,Loyalty,M,Cyber services,Cash,No,3,30,90,High
5/9/2023,NTC0012,Loyalty,M,Cyber services,Mobile Money,No,2,15,30,Low
5/9/2023,NTC0013,Loyalty,M,Food & Drinks,Cash,No,1,60,60,Low
5/9/2023,NTC0014,Loyalty,M,Food & Drinks,Mobile Money,Yes,1,30,30,Low
5/9/2023,NTC0015,Loyalty,F,Online support services,Mobile Money,No,4,20,80,Low
5/9/2023,NTC0016,Loyalty,M,Food & Drinks,Mobile Money,No,1,60,60,Low
5/10/2023,NTC0017,Loyalty,F,Cyber services,Cash,Yes,4,10,40,Low
5/10/2023,NTC0018,Loyalty,F,Cyber services,Mobile Money,Yes,39,5,195,High
5/10/2023,NTC0019,Loyalty,F,Stationery & Office Supplies,Mobile Money,No,1,5,5,Low
5/10/2022,NTC0020,Loyalty,M,Stationery & Office Supplies,Mobile Money,No,1,10,10,Low
5/10/2023,NTC0021,Loyalty,F,Food & Drinks,Mobile Money,No,3,5,15,Low
5/11/2023,NTC0022,Loyalty,M,Cyber services,Cash,Yes,13,5,65,Low
5/11/2023,NTC0023,Non-loyalty,F,Stationery & Office Supplies,Mobile Money,Yes,1,10,10,Low
5/11/2023,NTC0024,Loyalty,F,Food & Drinks,Cash,No,1,5,5,Low
5/11/2023,NTC0025,Non-loyalty,F,Online support services,Mobile Money,No,1,20,20,Low
5/11/2023,NTC0026,Non-loyalty,F,Food & Drinks,Cash,No,1,60,60,Low
5/11/2023,NTC0027,Loyalty,F,Food & Drinks,Cash,No,1,70,70,Low
5/12/2023,NTC0028,Loyalty,F,Food & Drinks,Mobile Money,No,3,60,180,High
5/12/2023,NTC0029,Non-loyalty,F,Online support services,Mobile Money,Yes,1,20,20,Low
5/12/2023,NTC0030,Loyalty,F,Food & Drinks,Cash,Yes,1,30,30,Low
5/12/2023,NTC0031,Loyalty,M,Online support services,Mobile Money,Yes,15,10,150,High
5/12/2023,NTC0032,Loyalty,M,Food & Drinks,Mobile Money,No,1,5,5,Low
5/12/2023,NTC0033,Loyalty,F,Stationery & Office Supplies,Mobile Money,Yes,1,5,5,Low
5/12/2023,NTC0034,Non-loyalty,F,Food & Drinks,Cash,Yes,1,60,60,Low
5/15/2023,NTC0035,Non-loyalty,F,Food & Drinks,Mobile Money,No,1,70,70,Low
5/15/2023,NTC0036,Non-loyalty,M,Online support services,Mobile Money,No,1,50,50,Low
5/15/2023,NTC0037,Non-loyalty,F,Food & Drinks,Mobile Money,No,1,5,5,Low
5/15/2023,NTC0038,Loyalty,M,Cyber services,Cash,No,7,10,70,Low
5/15/2023,NTC0039,Loyalty,M,Mobile Accessories,Mobile Money,No,1,50,50,Low
5/15/2023,NTC0040,Non-loyalty,M,Stationery & Office Supplies,Cash,No,1,10,10,Low
5/15/2023,NTC0041,Loyalty,M,Stationery & Office Supplies,Mobile Money,No,12,5,60,Low
5/15/2023,NTC0042,Non-loyalty,M,Cyber services,Cash,No,1,20,20,Low
5/16/2023,NTC0043,Loyalty,F,Cyber services,Mobile Money,Yes,5,14,70,Low
5/16/2023,NTC0044,Loyalty,F,Online support services,Mobile Money,Yes,1,20,20,Low
5/16/2023,NTC0045,Loyalty,F,Cyber services,Cash,Yes,10,5,50,Low
5/16/2023,NTC0046,Non-loyalty,F,Cyber services,Cash,No,3,20,60,Low
5/16/2023,NTC0047,Loyalty,F,Food & Drinks,Cash,No,2,5,10,Low
5/16/2023,NTC0048,Loyalty,M,Cyber services,Mobile Money,Yes,1,50,50,Low
5/16/2023,NTC0049,Loyalty,F,Food & Drinks,Mobile Money,No,1,60,60,Low
5/16/2023,NTC0050,Loyalty,F,Online support services,Mobile Money,No,1,50,50,Low
5/17/2023,NTC0051,Loyalty,M,Online support services,Mobile Money,Yes,1,350,350,High
5/17/2023,NTC0052,Loyalty,F,Online support services,Cash,No,1,50,50,Low
5/17/2023,NTC0053,Non-loyalty,M,Food & Drinks,Mobile Money,No,1,60,60,Low
5/17/2023,NTC0054,Loyalty,F,Online support services,Mobile Money,No,10,5,50,Low
5/17/2023,NTC0055,Non-loyalty,M,Cyber services,Mobile Money,Yes,1,100,100,High
5/17/2023,NTC0056,Non-loyalty,F,Cyber services,Mobile Money,No,1,10,10,Low
5/19/2023,NTC0057,Loyalty,F,Cyber services,Mobile Money,No,37,5,185,High
